timestamp,minutes_to_gate,best_bid,best_ask,mid_price,micro_price,spread_eur,bid_depth_mw,ask_depth_mw,ofi,traded_volume_mw,trade_price_eur,vwap_eur
2026-08-22 18:00:00,120.0,84.78,85.85,85.32,85.58,1.07,31.4,10.7,0.491,7,85.63,85.63
2026-08-22 18:01:00,119.0,84.51,85.87,85.19,85.38,1.36,29.4,16.7,0.275,4,85.4,85.55
2026-08-22 18:02:00,118.0,84.97,86.29,85.63,85.9,1.32,30.4,12.8,0.409,4,85.76,85.6
2026-08-22 18:03:00,117.0,85.55,86.61,86.08,86.33,1.07,37.4,13.8,0.461,7,86.44,85.87
2026-08-22 18:04:00,116.0,85.44,86.52,85.98,86.24,1.08,39.3,13.8,0.481,9,86.37,86.02
2026-08-22 18:05:00,115.0,85.38,86.34,85.86,86.04,0.96,32.3,14.8,0.371,5,85.98,86.01
2026-08-22 18:06:00,114.0,86.22,87.21,86.71,86.83,0.98,28.3,17.8,0.227,8,86.92,86.18
2026-08-22 18:07:00,113.0,86.23,87.39,86.81,87.08,1.16,33.3,11.9,0.474,6,87.04,86.28
2026-08-22 18:08:00,112.0,86.3,87.3,86.8,86.94,1.0,25.3,13.9,0.29,6,86.96,86.35
2026-08-22 18:09:00,111.0,86.57,87.57,87.07,87.16,1.0,30.2,20.9,0.182,10,87.1,86.47
2026-08-22 18:10:00,110.0,86.4,87.28,86.84,86.97,0.88,29.2,15.9,0.294,6,87.14,86.52
2026-08-22 18:11:00,109.0,86.02,87.18,86.6,86.79,1.16,32.2,16.0,0.337,11,86.77,86.55
2026-08-22 18:12:00,108.0,86.08,87.12,86.6,86.82,1.04,25.2,10.0,0.431,13,86.83,86.59
2026-08-22 18:13:00,107.0,85.44,86.26,85.85,86.04,0.82,33.2,12.0,0.467,8,85.99,86.55
2026-08-22 18:14:00,106.0,84.52,85.82,85.17,85.42,1.31,29.1,13.1,0.381,2,85.57,86.53
2026-08-22 18:15:00,105.0,84.36,85.32,84.84,85.07,0.96,30.1,10.1,0.498,9,85.23,86.43
2026-08-22 18:16:00,104.0,83.74,84.8,84.27,84.42,1.06,34.1,19.1,0.281,9,84.55,86.29
2026-08-22 18:17:00,103.0,84.05,85.06,84.56,84.77,1.01,30.1,12.2,0.424,6,84.85,86.22
2026-08-22 18:18:00,102.0,83.44,84.8,84.12,84.23,1.36,25.0,18.2,0.158,8,84.18,86.1
2026-08-22 18:19:00,101.0,82.94,83.92,83.43,83.5,0.98,23.0,17.2,0.143,5,83.57,86.02
2026-08-22 18:20:00,100.0,83.15,84.73,83.94,84.22,1.58,26.0,12.3,0.358,8,84.22,85.92
2026-08-22 18:21:00,99.0,83.57,84.46,84.01,84.17,0.89,33.9,16.3,0.351,5,84.27,85.87
2026-08-22 18:22:00,98.0,83.54,84.48,84.01,84.29,0.94,40.9,10.3,0.597,8,84.38,85.8
2026-08-22 18:23:00,97.0,82.96,83.98,83.47,83.58,1.03,23.9,15.4,0.216,6,83.53,85.72
2026-08-22 18:24:00,96.0,82.22,83.74,82.98,83.11,1.53,31.8,22.4,0.174,13,83.19,85.54
2026-08-22 18:25:00,95.0,82.36,83.84,83.1,83.3,1.48,29.8,17.5,0.261,6,83.35,85.47
2026-08-22 18:26:00,94.0,82.2,83.38,82.79,82.87,1.18,21.8,16.5,0.138,6,82.65,85.38
2026-08-22 18:27:00,93.0,82.21,84.04,83.13,83.44,1.83,29.7,14.5,0.343,6,83.5,85.32
2026-08-22 18:28:00,92.0,81.81,83.17,82.49,82.7,1.36,27.7,14.6,0.31,6,82.67,85.25
2026-08-22 18:29:00,91.0,81.86,82.98,82.42,82.53,1.12,30.7,20.6,0.196,7,82.46,85.16
2026-08-22 18:30:00,90.0,81.6,82.95,82.27,82.48,1.35,31.6,16.7,0.309,9,82.41,85.04
